,latitude,longitude,addr,amenity
166,52.0163686,4.3633217,1,[]
167,52.0151052,4.3651529,3,[]
168,52.0182478,4.3681297,2,[]
169,52.0183383,4.3672245,1,[]
170,52.0181257,4.3663315,2,[]
171,52.0152309,4.3640661,4,[]
172,52.0126109,4.3686348,2,[]
173,52.0173886,4.3633035,1,[]
174,52.017671,4.3667144,1,[]
175,52.0166323,4.3687349,3,"['pharmacy', 'dentist']"
176,52.0181182,4.3624621,1,[]
177,52.0165433,4.3637407,1,[]
178,52.0180374,4.3665188,5,[]
179,52.0124085,4.3687799,4,[]
180,52.0182086,4.362379,1,[]
181,52.0179165,4.3656084,2,[]
182,52.0139797,4.366895,2,[]
183,52.0174616,4.3663337,1,[]
184,52.018128,4.3664171,2,[]
185,52.015732,4.3650776,1,[]
186,52.017645,4.3659138,2,[]
187,52.0126571,4.3681152,3,[]
188,52.0148895,4.3658026,5,[]
189,52.0176379,4.3629846,3,[]
190,52.015242,4.365478,1,[]
191,52.0136768,4.367363,1,[]
192,52.0180654,4.3601895,1,[]
193,52.0176242,4.3687181,1,[]
194,52.0168288,4.3630357,2,[]
195,52.0174595,4.36629,1,[]
196,52.0173018,4.3633935,3,[]
197,52.0125498,4.3678269,4,[]
198,52.0151254,4.3642006,1,[]
199,52.0178205,4.3685017,1,[]
200,52.0177257,4.3628859,2,[]
201,52.0158404,4.363179,2,[]
202,52.0176571,4.3622691,3,[]
203,52.0138034,4.3665057,3,[]
204,52.01556,4.3653316,2,[]
205,52.0177857,4.3686022,1,[]
206,52.0155025,4.3645781,2,[]
207,52.0174738,4.3632066,1,[]
208,52.0167074,4.3627556,2,[]
209,52.0175052,4.365569,4,[]
210,52.0181327,4.3654827,3,[]
211,52.017906,4.3665571,4,[]
212,52.0153517,4.3655618,2,[]
213,52.0150505,4.3650228,1,[]
214,52.0178392,4.3684811,1,[]
215,52.0125936,4.3690861,1,[]
216,52.0166931,4.3630366,1,[]
217,52.0168285,4.3633626,1,[]
218,52.0176235,4.368781,1,[]
219,52.0171604,4.3681866,4,[]
220,52.012551,4.3686775,3,[]
221,52.0179234,4.3626644,1,[]
222,52.0131871,4.3684571,1,[]
223,52.0152147,4.3654131,2,[]
224,52.0172092,4.362893,1,[]
225,52.017933,4.3619764,3,[]
226,52.0137152,4.3663125,3,[]
227,52.0164838,4.3635994,1,[]
228,52.0131851,4.3690432,1,[]
229,52.0153066,4.365817,5,[]
230,52.01527,4.3655444,2,[]
231,52.0176005,4.3657922,2,[]
232,52.016796,4.3618314,3,[]
233,52.0164266,4.3634624,1,[]
234,52.0174897,4.3619826,10,[]
235,52.0178571,4.3685237,1,[]
236,52.0180541,4.3665,2,[]
237,52.0151326,4.365218,2,[]
238,52.0182256,4.3642027,2,[]
239,52.0170963,4.3635521,1,[]
240,52.0150058,4.3690477,8,[]
241,52.013916,4.3667542,3,[]
242,52.0181937,4.3608252,3,[]
243,52.0167748,4.3639817,1,[]
244,52.0149956,4.364986,1,[]
245,52.0163094,4.36318,1,[]
246,52.0151538,4.3642362,2,[]
247,52.0166983,4.3640657,2,[]
248,52.0177166,4.3624144,2,[]
249,52.0180073,4.3651885,2,[]
250,52.0178051,4.3609368,5,[]
251,52.015736,4.3642966,1,[]
252,52.0150161,4.3650349,3,[]
253,52.0157879,4.3650792,2,[]
