,latitude,longitude,amenity
173,52.0059062,4.3685364,
174,52.0063753,4.3663412,
175,52.0064138,4.3673343,
176,52.0059062,4.3685366,
177,52.0063755,4.3663411,
178,52.0064139,4.3673345,
179,52.0059063,4.3685368,
180,52.0065296,4.3681622,
181,52.0065296,4.3681620,
182,52.0065296,4.3681618,
183,52.0065296,4.3681616,
184,52.0065297,4.3681614,
185,52.0065297,4.3681612,
186,52.0065297,4.3681610,
187,52.0065297,4.3681608,
188,52.0065297,4.3681606,
189,52.0065297,4.3681604,
190,52.0065298,4.3681602,
191,52.0065298,4.3681600,
192,52.0065298,4.3681598,
193,52.0065298,4.3681596,
194,52.0065298,4.3681594,
195,52.0065298,4.3681592,
196,52.0065299,4.3681590,
197,52.0065299,4.3681588,
198,52.0065299,4.3681586,
199,52.0065299,4.3681584,
200,52.0064140,4.3673347,
201,52.0059063,4.3685370,
202,52.0065299,4.3681582,
203,52.0065299,4.3681580,
204,52.0065299,4.3681578,
205,52.0065300,4.3681576,
206,52.0065300,4.3681574,
207,52.0065300,4.3681572,
208,52.0065300,4.3681570,
209,52.0065300,4.3681568,
210,52.0065300,4.3681566,
211,52.0065301,4.3681564,
212,52.0065301,4.3681562,
213,52.0065301,4.3681560,
214,52.0065301,4.3681558,
215,52.0065301,4.3681556,
216,52.0065301,4.3681554,
217,52.0065302,4.3681552,
218,52.0064140,4.3673349,
219,52.0057781,4.3631583,
220,52.0059684,4.3640690,
221,52.0057784,4.3625005,
222,52.0061598,4.3689522,
223,52.0061249,4.3665261,
224,52.0057282,4.3643365,
225,52.0057030,4.3670221,
226,52.0056276,4.3630148,
227,52.0059068,4.3685333,
228,52.0064141,4.3673350,
229,52.0059068,4.3685335,
230,52.0064142,4.3673352,
231,52.0059068,4.3685337,
232,52.0064143,4.3673354,
233,52.0059069,4.3685339,
234,52.0064144,4.3673356,
235,52.0059072,4.3685330,
236,52.0064145,4.3673358,
237,52.0060982,4.3646640,
238,52.0061595,4.3641976,
239,52.0057817,4.3625874,
240,52.0055224,4.3682186,
241,52.0064075,4.3673262,
242,52.0055188,4.3644717,
243,52.0056977,4.3667174,
244,52.0056758,4.3633525,
245,52.0059073,4.3685332,
246,52.0064146,4.3673359,
247,52.0059073,4.3685333,
248,52.0064147,4.3673361,
249,52.0059073,4.3685335,
250,52.0064148,4.3673363,
251,52.0059074,4.3685337,
252,52.0059064,4.3685372,
253,52.0057503,4.3632711,
254,52.0059456,4.3640064,
255,52.0058171,4.3626819,
256,52.0061598,4.3689520,
257,52.0057524,4.3644073,
258,52.0056623,4.3669590,
259,52.0055958,4.3630444,
260,52.0059064,4.3685374,
261,52.0059064,4.3685376,
262,52.0059065,4.3685378,
263,52.0059069,4.3685341,
264,52.0059069,4.3685343,
265,52.0060377,4.3647186,
266,52.0061596,4.3641975,
267,52.0055107,4.3682012,
268,52.0064092,4.3673259,
269,52.0055424,4.3645467,
270,52.0057050,4.3666940,
271,52.0055490,4.3634560,
272,52.0059070,4.3685345,
273,52.0059070,4.3685347,
274,52.0059071,4.3685349,
275,52.0059071,4.3685351,
276,52.0059071,4.3685353,
277,52.0059227,4.3639384,
278,52.0061597,4.3689518,
279,52.0057756,4.3644814,
280,52.0056553,4.3669803,
281,52.0055752,4.3630666,
282,52.0059072,4.3685355,
283,52.0059065,4.3685380,
284,52.0059065,4.3685382,
285,52.0059066,4.3685384,
286,52.0059066,4.3685386,
287,52.0062156,4.3646027,
288,52.0061598,4.3641973,
289,52.0054796,4.3682907,
290,52.0064093,4.3673261,
291,52.0055693,4.3646215,
292,52.0056512,4.3666788,
293,52.0055560,4.3634794,
294,52.0059066,4.3685388,
295,52.0059072,4.3685357,
296,52.0059067,4.3685390,
297,52.0059067,4.3685392,
298,52.0059068,4.3685394,
299,52.0058999,4.3638759,
300,52.0056152,4.3669175,
301,52.0055452,4.3630980,
302,52.0059068,4.3685396,
303,52.0059068,4.3685398,
304,52.0059069,4.3685400,
305,52.0059069,4.3685402,
306,52.0059069,4.3685404,
307,52.0062157,4.3646026,
308,52.0061588,4.3641980,
309,52.0054683,4.3682756,
310,52.0064094,4.3673263,
