,addr:housenumber,addr:street,latitude,longitude,id
58697,45A,Coenderstraat,52.0071028,4.3552670,5322517898
58698,44C,Coenderstraat,52.0069930,4.3553792,5322517899
58699,44B,Coenderstraat,52.0069900,4.3552712,5322517900
58700,44A,Coenderstraat,52.0071025,4.3552254,5322517901
58701,300,Gasthuislaan,52.0110222,4.3664769,5322517902
58702,298,Gasthuislaan,52.0110222,4.3664769,5322517903
58703,296,Gasthuislaan,52.0110222,4.3664769,5322517904
58704,294,Gasthuislaan,52.0110222,4.3664769,5322517905
58705,292,Gasthuislaan,52.0110222,4.3664769,5322517906
58706,54,Kraanvogelstraat,51.9838689,4.3619021,5322517907
58707,32,Kraanvogelstraat,51.9838689,4.3619021,5322517908
58708,30,Kraanvogelstraat,51.9838689,4.3619021,5322517909
58709,18,Kraanvogelstraat,51.9838689,4.3619021,5322517910
58710,16,Kraanvogelstraat,51.9838689,4.3619021,5322517911
58711,164,Fuutlaan,51.9831802,4.3615365,5322517912
58712,162,Fuutlaan,51.9831802,4.3615365,5322517913
58713,160,Fuutlaan,51.9831802,4.3615365,5322517914
58714,158,Fuutlaan,51.9831802,4.3615365,5322517915
58715,150,Fuutlaan,51.9831802,4.3615365,5322517916
58716,146,Fuutlaan,51.9831802,4.3615365,5322517917
58717,144,Fuutlaan,51.9831802,4.3615365,5322517918
58718,142,Fuutlaan,51.9831802,4.3615365,5322517919
58719,68,Fuutlaan,51.9833118,4.3611586,5322517920
58720,47,Fuutlaan,51.9835559,4.3617127,5322518021
58721,45,Fuutlaan,51.9835559,4.3617127,5322518022
58722,214,Papsouwselaan,52.0001335,4.3534698,5322518023
58723,161,Bagijnhof,52.0137986,4.3538793,5322518024
58724,99,Bagijnhof,52.0137986,4.3538793,5322518025
58725,5,Broerhuisstraat,52.0116652,4.3629630,5322518026
58726,60C,Phoenixstraat,52.0125432,4.3529614,5322518027
58727,60A,Phoenixstraat,52.0125432,4.3529614,5322518028
58728,60,Phoenixstraat,52.0125432,4.3529614,5322518029
58729,8,Brabantse Turfmarkt,52.0086669,4.3619031,5322518030
58730,11,Vestpoort,52.0092161,4.3635446,5322518031
58731,3,Anthony Fokkerweg,51.9906071,4.3774735,5322518032
58732,10,Laan van Lansbergen,52.0098132,4.3230810,5322518033
58733,128B,C. Fockstraat,52.0118681,4.3489081,5322518034
58734,128A,C. Fockstraat,52.0118681,4.3489081,5322518035
58735,48C,Rotterdamseweg,52.0054004,4.3632315,5322518036
58736,48B,Rotterdamseweg,52.0054004,4.3632315,5322518037
58737,48A,Rotterdamseweg,52.0054004,4.3632315,5322518038
58738,50C,Rotterdamseweg,52.0053573,4.3632741,5322518039
